source,source_row,query,page,impressions,clicks,ctr,position
clarity,3,,https://chenguangwu.github.io/tools/ophthalmology/index.html,0,0,0,1
clarity,4,,https://chenguangwu.github.io/tools/dynamics/index.html,0,0,0,2
clarity,5,,https://chenguangwu.github.io/tools/nuclear/mass-defect.html,1,0,0,1
clarity,6,,https://chenguangwu.github.io/tools/livestock/inbreeding-coefficient.html,0,0,0,1
clarity,7,,https://chenguangwu.github.io/tools/kinematics/height-fall-distance.html,1,0,0,1
clarity,8,,https://chenguangwu.github.io/tools/design/index.html?lang=en,0,0,0,1
clarity,10,,https://chenguangwu.github.io/tools/transport/calc-4.html,0,0,0,1
clarity,11,,https://chenguangwu.github.io/tools/nephrology/index.html,0,0,0,2
clarity,12,,https://chenguangwu.github.io/tools/geometry/index.html,0,0,0,1
clarity,13,,https://chenguangwu.github.io/tools/rheumatology/detector-8.html,0,0,0,1
clarity,16,,https://chenguangwu.github.io/tools/it/numeronym-generator.html,1,0,0,1
clarity,17,,https://chenguangwu.github.io/tools/math/circular-permutation.html,1,0,0,1
clarity,18,,https://chenguangwu.github.io/tools/ai/roc-auc.html,1,0,0,1
clarity,19,,https://chenguangwu.github.io/tools/ophthalmology/visual-field-analysis.html,1,0,0,1
clarity,20,,https://chenguangwu.github.io/tools/automotive/tire-wear.html,1,0,0,1
clarity,21,,https://chenguangwu.github.io/tools/mining/reserve-estimate.html,0,0,0,1
clarity,22,,https://chenguangwu.github.io/tools/sports/jixianwei-kuai-man-leixingtuice.html,0,0,0,1
clarity,23,,https://chenguangwu.github.io/tools/clinical-lab/flow-cytometry-ratio.html,1,0,0,1
clarity,24,,https://chenguangwu.github.io/tools/psychology/tester-3.html,0,0,0,1
clarity,26,,https://chenguangwu.github.io/tools/ophthalmology/corneal-curvature.html,2,0,0,1
clarity,27,,https://chenguangwu.github.io/tools/construction/index.html,0,0,0,1
clarity,28,,https://chenguangwu.github.io/tools/wedding/seating-chart.html,1,0,0,1
clarity,29,,https://chenguangwu.github.io/tools/food-safety/assessor-risk-6.html,0,0,0,1
