tool_zh,tool_en,url,industry,quality,competitor,competitor_url,match_type,suggest_platform
.gitignore Generator,.gitignore Generator,https://chenguangwu.github.io/tools/it/gitignore-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
.properties Parser,.properties Parser,https://chenguangwu.github.io/tools/it/properties-parser.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
API Signature Generator,API Signature Generator,https://chenguangwu.github.io/tools/it/api-sign-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
ASCII Directory Tree Generator,ASCII Directory Tree Generator,https://chenguangwu.github.io/tools/it/ascii-tree-generator.html,it,A,ASCII Table / RapidTables,https://www.rapidtables.com/computer/basic/ascii-table.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
AST AST View Device - AST ( Abstract Syntax Tree,AST AST View Device - AST ( Abstract Syntax Tree,https://chenguangwu.github.io/tools/it/ast-viewer.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Advanced Unit Converter,Advanced Unit Converter,https://chenguangwu.github.io/tools/it/unit-converter-advanced.html,it,A,Unit Converter / RapidTables,https://www.rapidtables.com/convert/,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Ai 12,Ai 12,https://chenguangwu.github.io/tools/ai/ai-12.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ai 8,Ai 8,https://chenguangwu.github.io/tools/ai/ai-8.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ai 9,Ai 9,https://chenguangwu.github.io/tools/ai/ai-9.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
BIP39 Mnemonic Generator,BIP39 Mnemonic Generator,https://chenguangwu.github.io/tools/it/bip39-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Base64 File Convert,Base64 File Convert,https://chenguangwu.github.io/tools/it/base64-file.html,it,A,Base64 Decode,https://www.base64decode.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Basic Auth Generator,Basic Auth Generator,https://chenguangwu.github.io/tools/it/basic-auth-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Batch Size Iteration Count,Batch Size Iteration Count,https://chenguangwu.github.io/tools/ai/ai-5.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Bayesian Posterior Probability,Bayesian Posterior Probability,https://chenguangwu.github.io/tools/ai/ai-15.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
