query,page,impressions,clicks,ctr,position
,https://Electron,2,0,0,3
,https://chenguangwu.github.io/tools/ophthalmology/index.html,0,0,0,1
,https://chenguangwu.github.io/tools/dynamics/index.html,0,0,0,2
,https://chenguangwu.github.io/tools/nuclear/mass-defect.html,1,0,0,1
,https://chenguangwu.github.io/tools/livestock/inbreeding-coefficient.html,0,0,0,1
,https://chenguangwu.github.io/tools/kinematics/height-fall-distance.html,1,0,0,1
,https://chenguangwu.github.io/tools/design/index.html?lang=en,0,0,0,1
,https://chenguangwu.github.io/evernode/IDEA%20without%20mouse.html,0,0,0,1
,https://chenguangwu.github.io/tools/transport/calc-4.html,0,0,0,1
,https://chenguangwu.github.io/tools/nephrology/index.html,0,0,0,2
,https://chenguangwu.github.io/tools/geometry/index.html,0,0,0,1
,https://chenguangwu.github.io/tools/rheumatology/detector-8.html,0,0,0,1
,http://127.0.0.1:8090/tools/it/jwt.html?lang=en-US,0,0,0,1
,http://127.0.0.1:8902/tools/it/index.html,0,0,0,1
,https://chenguangwu.github.io/tools/it/numeronym-generator.html,1,0,0,1
,https://chenguangwu.github.io/tools/math/circular-permutation.html,1,0,0,1
,https://chenguangwu.github.io/tools/ai/roc-auc.html,1,0,0,1
,https://chenguangwu.github.io/tools/ophthalmology/visual-field-analysis.html,1,0,0,1
,https://chenguangwu.github.io/tools/automotive/tire-wear.html,1,0,0,1
,https://chenguangwu.github.io/tools/mining/reserve-estimate.html,0,0,0,1
,https://chenguangwu.github.io/tools/sports/jixianwei-kuai-man-leixingtuice.html,0,0,0,1
,https://chenguangwu.github.io/tools/clinical-lab/flow-cytometry-ratio.html,1,0,0,1
,https://chenguangwu.github.io/tools/psychology/tester-3.html,0,0,0,1
,http://127.0.0.1:8102/tools/eco/eco-8.html?lang=zh-CN,0,0,0,1
,https://chenguangwu.github.io/tools/ophthalmology/corneal-curvature.html,2,0,0,1
,https://chenguangwu.github.io/tools/construction/index.html,0,0,0,1
,https://chenguangwu.github.io/tools/wedding/seating-chart.html,1,0,0,1
,https://chenguangwu.github.io/tools/food-safety/assessor-risk-6.html,0,0,0,1
,https://chenguangwu.github.io/tools/general/calc-94.html,1,0,0,1
,http://127.0.0.1:8101/tools/it/base64.html?lang=en-US,0,0,0,1
,https://chenguangwu.github.io/tools/textile/fabric-converter.html,1,0,0,1
,http://localhost:8990/tools/general/estimate-15.html,0,0,0,1
,https://chenguangwu.github.io/tools/network/analysis-66.html,1,0,0,1
,https://chenguangwu.github.io/tools/encode/encode-5.html,1,0,0,1
,https://chenguangwu.github.io/tools/reproductive-medicine/ivf-statistics.html,0,0,0,2
,https://chenguangwu.github.io/tools/usedcar/calc-73.html,1,0,0,1
,http://127.0.0.1:8901/tools/it/base64.html,0,0,0,1
,https://chenguangwu.github.io/tools/fishery/estimate-emission-wastewater.html,1,0,0,1
,https://chenguangwu.github.io/tools/life/density-converter.html,2,0,0,1
,https://chenguangwu.github.io/tools/tcm-chemistry/capsule-filling.html,0,0,0,1
,https://chenguangwu.github.io/tools/textile/fukuanpailiaoliyonglv.html,1,0,0,1
,https://chenguangwu.github.io/tools/forestry/area-18.html,1,0,0,1
,https://chenguangwu.github.io/tools/manufacturing/quality-control.html,1,0,0,1
,https://chenguangwu.github.io/tools/rubber/cure-time.html,0,0,0,1
,https://chenguangwu.github.io/tools/photo/depth-of-field.html,0,0,0,1
,https://chenguangwu.github.io/tools/energy/lcoe.html,1,0,0,1
,https://chenguangwu.github.io/tools/civil/cft-capacity.html,1,0,0,1
,https://chenguangwu.github.io/tools/aerospace/lift-coefficient.html,0,0,0,1
