竞品slug,中文名,是否纯前端,状态,本地URL,本地名称,质量,核心token,备注
ascii-text-drawer,ASCII 艺术字生成,是,已覆盖,tools/it/ascii-art.html,ASCII Art,A,ascii|drawer,纯算法
base64-file-converter,Base64 文件转换,是,已覆盖,tools/it/base64-file.html,Base64 File Convert,A,base64|file,FileReader
base64-string-converter,Base64 字符串转换,是,已覆盖,tools/encode/base64-length.html,Base64 Encode Length,A,base64,
basic-auth-generator,Basic Auth 生成,是,已覆盖,tools/it/basic-auth-generator.html,Basic Auth Generator,A,basic|auth,
bcrypt,Bcrypt 哈希,是,已覆盖,tools/it/bcrypt.html,Bcrypt Hash / Check - Bcrypt,A,bcrypt,bcryptjs CDN
benchmark-builder,性能基准代码生成,是,已覆盖,tools/it/benchmark-builder.html,Benchmark Benchmark,A,benchmark,
bip39-generator,BIP39 助记词,是,已覆盖,tools/it/bip39-generator.html,BIP39 Mnemonic Generator,A,bip39,
camera-recorder,摄像头录制,是,已覆盖,tools/it/camera-recorder.html,Camera Recording,A,camera|recorder,getUserMedia
case-converter,大小写转换,是,已覆盖,tools/it/case-converter.html,Case Converter - &amp;# 128296 ; Case Converter,A,case,
chmod-calculator,chmod 权限计算,是,已覆盖,tools/it/chmod-calculator.html,Chmod Permission Calculator,A,chmod|calculator,
chronometer,秒表计时器,是,已覆盖,tools/it/stopwatch.html,Stopwatch,A,chronometer,
color-converter,颜色格式转换,是,已覆盖,tools/it/color-converter.html,Color Converter,A,color,
crontab-generator,Crontab 表达式生成,是,已覆盖,tools/it/crontab-generator.html,Crontab Generator,A,crontab,
date-time-converter,日期时间转换,是,已覆盖,tools/it/date-duration.html,Date Duration Calculator,A,date|time,
device-information,设备信息检测,是,已覆盖,tools/it/device-info.html,Device Info View Device,A,device,navigator API
docker-run-to-docker-compose-converter,docker run 转 compose,是,已覆盖,tools/it/docker-run-converter.html,Docker Run to Compose Converter,A,docker|run|docker|compose,
email-normalizer,邮箱规范化,是,已覆盖,tools/it/email-normalizer.html,Email Normalization,A,email|normalizer,
emoji-picker,Emoji 选择器,是,已覆盖,tools/it/emoji-picker.html,Emoji Picker,A,emoji|picker,
encryption,加密解密,是,已覆盖,tools/it/aes-encryptor.html,AES Encrypt Decrypt,A,encryption,WebCrypto
eta-calculator,ETA 预计到达计算,是,已覆盖,tools/securities/beta-calc.html,Beta Coefficient Calculator,A,eta|calculator,
git-memo,Git 备忘单,是,已覆盖,tools/it/git-cheatsheet.html,Git Command Cheat Sheet,A,git|memo,
hash-text,文本哈希,是,已覆盖,tools/it/hash-multi.html,Hash Multi,A,hash,
hmac-generator,HMAC 生成,是,已覆盖,tools/it/hmac-generator.html,HMAC Generator,A,hmac,
html-entities,HTML 实体转义,是,已覆盖,tools/it/html-entities.html,HTML Entities,A,html|entities,
html-wysiwyg-editor,富文本编辑器,是,已覆盖,tools/it/rich-text-editor.html,Rich Text Editor,A,html|wysiwyg|editor,contentEditable
http-status-codes,HTTP 状态码速查,是,已覆盖,tools/it/http-status.html,HTTP Status,A,http|status|codes,
iban-validator-and-parser,IBAN 校验解析,是,已覆盖,tools/finance/iban-validator.html,Iban Validator,A,iban,
integer-base-converter,进制转换,是,已覆盖,tools/it/integer-base-converter.html,Integer Base Converter,A,integer|base,
ipv4-address-converter,IPv4 地址转换,是,已覆盖,tools/it/ip-calculator.html,IP Subnet Calculator,A,ipv4|address,
ipv4-range-expander,IPv4 范围展开,是,已覆盖,tools/it/ipv4-range-expander.html,IPv4 Range Expander,A,ipv4|range|expander,
ipv4-subnet-calculator,IPv4 子网计算,是,已覆盖,tools/it/ip-calculator.html,IP Subnet Calculator,A,ipv4|subnet|calculator,
ipv6-ula-generator,IPv6 ULA 生成,是,已覆盖,tools/it/ipv6-ula.html,IPv6 ULA Generator,A,ipv6|ula,
json-diff,JSON 差异对比,是,已覆盖,tools/it/json-diff.html,JSON Diff Compare,A,json|diff,
json-minify,JSON 压缩,是,已覆盖,tools/it/json-minify.html,JSON Compress / Format,A,json|minify,
json-to-csv,JSON 转 CSV,是,已覆盖,tools/it/json-to-csv.html,JSON to CSV,A,json|csv,
json-to-toml,JSON 转 TOML,是,已覆盖,tools/it/json-to-toml.html,JSON to TOML,A,json|toml,
json-to-xml,JSON 转 XML,是,已覆盖,tools/it/json-to-xml.html,JSON to XML,A,json|xml,
json-to-yaml-converter,JSON 转 YAML,是,已覆盖,tools/it/json-to-yaml.html,JSON to YAML,A,json|yaml,
json-viewer,JSON 可视化查看,是,已覆盖,tools/it/json-diff.html,JSON Diff Compare,A,json,
jwt-parser,JWT 解析,是,已覆盖,tools/it/jwt-debugger.html,JWT Debugger,A,jwt,
keycode-info,按键 KeyCode 速查,是,已覆盖,tools/it/keycode-info.html,Key Code Keycode Query,A,keycode|info,
list-converter,列表格式转换,是,已覆盖,tools/it/list-converter.html,List Converter,A,list,
lorem-ipsum-generator,Lorem 占位文生成,是,已覆盖,tools/text/lorem-ipsum-generator.html,Lorem Ipsum Generator,A,lorem|ipsum,
mac-address-generator,MAC 地址生成,是,已覆盖,tools/it/mac-generator.html,MAC Address Generator,A,mac|address,
mac-address-lookup,MAC 厂商查询,是,已覆盖,tools/it/mac-lookup.html,MAC Lookup,A,mac|address|lookup,需内置 OUI 表
markdown-to-html,Markdown 转 HTML,是,已覆盖,tools/it/markdown-to-html.html,Markdown to HTML,A,markdown|html,
math-evaluator,数学表达式求值,是,已覆盖,tools/it/math-evaluator.html,Math Expression Evaluate Device - Online Calculate Math Expression : Support + - * / % ^ (,A,math|evaluator,
meta-tag-generator,Meta 标签生成,是,已覆盖,tools/it/meta-tags-generator.html,Meta Tags Generator,A,meta|tag,
mime-types,MIME 类型速查,是,已覆盖,tools/it/mime-type.html,MIME Type Quick Reference,A,mime|types,
numeronym-generator,数字缩写生成(i18n),是,已覆盖,tools/it/numeronym-generator.html,Numeronym Numeronym,A,numeronym,
otp-code-generator-and-validator,OTP/TOTP 验证码,是,已覆盖,tools/it/otp-generator.html,OTP Generator,A,otp,纯算法
password-strength-analyser,密码强度分析,是,已覆盖,tools/it/password-strength.html,Password Strength Detect,A,password|strength,
pdf-signature-checker,PDF 签名校验,否,已覆盖,tools/it/pdf-signature-checker.html,PDF Signature Check,A,pdf|signature,需解析 PDF 签名结构，实现复杂
percentage-calculator,百分比计算,是,已覆盖,tools/life/percentage-calculator.html,Percentage Calculator,A,percentage|calculator,
